Unnamed: 0,character,line,movie
3434,STEVE ROGERS,"Didn’t really go his way, did it? ",The Avengers
3435,PHIL COULSON,"Not so much. When he’s not that thing though, guy’s like a Stephen Hawking. He’s like a- smart person. I gotta say- it’s an honor to meet you, officially. I sort of met you, I mean, I watched you while you were sleeping. I mean, I was, I was present, while you were unconscious from-the-ice. You know it’s really- it’s just a- just a huge honor to have you on board- it’s...",The Avengers
3436,STEVE ROGERS,"Well, I hope I’m the man for the job. ",The Avengers
3437,PHIL COULSON,"Oh you are, absolutely. Ah- we made some modifications to the uniform. I had a little design input. ",The Avengers
3438,STEVE ROGERS,The uniform? Aren’t the stars and stripes a little...old-fashioned?,The Avengers
3439,PHIL COULSON,"Everything that’s happening, the things that are about to come to light, people might just need a little old-fashioned.",The Avengers
3440,THE OTHER,The Chitauri grow restless.,The Avengers
3441,LOKI,Let them goad themselves. I will lead them in a glorious battle.,The Avengers
3442,THE OTHER,Battle? Against the meager might of Earth.,The Avengers
3443,LOKI,Glorious not lengthy- if your force is as formidable as you claim.,The Avengers
3444,THE OTHER,"You question us? You question him? He who out the scepter in your hand, who gave you ancient knowledge and new purpose? When you were cast out- defeated! ",The Avengers
3445,LOKI,"I was a king! The rightful king of Asgard, betrayed. ",The Avengers
3446,THE OTHER,"Your ambition is little, full of childish need. We look beyond the Earth to greater worlds the Tesseract will unveil. ",The Avengers
3447,LOKI,"You don’t have the Tesseract yet.  I don’t threaten. But until I open the doors, until your force is mine to command, you are but words. ",The Avengers
3448,THE OTHER,"You will have your war, Asgardian. If you fail, if the Tesseract is kept from us, there will be no realm, no barren moon, no crevice, where he cannot find you. You think you know pain? He will make you long for something as sweet as pain.",The Avengers
3449,PHIL COULSON,Agent Romanoff- Captain Rogers.,The Avengers
3450,STEVE ROGERS,Ma’am.,The Avengers
3451,NATASHA ROMANOFF,Hi. They need you on the bridge; they’re starting the face trace.,The Avengers
3452,PHIL COULSON,See you there.,The Avengers
3453,NATASHA ROMANOFF,"It was quite the buzz around here, finding you in the ice. Thought Coulson was gonna swoon. Did he ask you to sign his Captain America trading cards yet? ",The Avengers
3454,STEVE ROGERS,Trading cards?,The Avengers
3455,NATASHA ROMANOFF,They’re vintage. He’s very proud.,The Avengers
3456,STEVE ROGERS,Doctor Banner.,The Avengers
3457,BRUCE BANNER,"Oh, yeah, hi. They told me you’d be coming. ",The Avengers
3458,STEVE ROGERS,Word is you can find the Cube.,The Avengers
3459,BRUCE BANNER,Is that the only word on me?,The Avengers
3460,STEVE ROGERS,Only word I care about.,The Avengers
3461,BRUCE BANNER,"Must be strange for you, all of this. ",The Avengers
3462,STEVE ROGERS,"Well, this is actually kind of familiar. ",The Avengers
3463,NATASHA ROMANOFF,"Gentlemen, you might wanna step inside in a minute. It’s gonna get a little had to breathe. ",The Avengers
3464,HELICARRIER INTERCOM,Flight Mode. Secure the deck.,The Avengers
3465,STEVE ROGERS,Is this a submarine?,The Avengers
3466,BRUCE BANNER,"Really, they want me in a submerged pressurized metal container?  Oh no, this is much worse.",The Avengers
3467,CARRIER BRIDGE TECH 1,"Maximum performance take off, increase output to capacity. ",The Avengers
3468,FEMALE CARRIER BRIDGE TECH,Power plant performing at capacity. We are clear.,The Avengers
3469,MARIA HILL,"All engines operating. SHIELD emergency protocol one nine three point six in effect. We’re at level, sir. ",The Avengers
3470,NICK FURY,Good! Let’s vanish.,The Avengers
3471,MARIA HILL,Engage retro reflection panels.,The Avengers
3472,MALE AGENT,Reflection panels engaged.,The Avengers
3473,NICK FURY,"Gentlemen.  Doctor, thank you for coming.",The Avengers
3474,BRUCE BANNER,"Thanks for asking nicely. So, um, how long am I staying? ",The Avengers
3475,NICK FURY,"Once we get our hands on the Tesseract, you’re in the wind. ",The Avengers
3476,BRUCE BANNER,Well where are you with that?,The Avengers
3477,PHIL COULSON,"We’re sweeping every wirelessly accessible camera on the planet. Cell phones... laptops, if it’s connected to a satellite, it’s eyes and ears for us. ",The Avengers
3478,NATASHA ROMANOFF,It’s still not gonna find them in time.,The Avengers
3479,BRUCE BANNER,You have to narrow your field. How many Spectrometers do you have access to?,The Avengers
3480,NICK FURY,How many are there?,The Avengers
