Unnamed: 0,character,line,movie
3871,TONY STARK,Lever! Now! Uh-oh.,The Avengers
3872,PHIL COULSON,I’m sorry boss. They got rabbited.,The Avengers
3873,NICK FURY,Just stay awake. Eyes on me.,The Avengers
3874,PHIL COULSON,Oh I’m clockin’ out here.,The Avengers
3875,NICK FURY,Not an option.,The Avengers
3876,PHIL COULSON,"It’s okay, boss. This was never gonna work- if they didn’t have something- to",The Avengers
3877,NICK FURY,Agent Coulson is down.,The Avengers
3878,SHIELD WORKER,A medical team is on its way to your location.,The Avengers
3879,NICK FURY,"They’re here. They called it. These were in Phil Coulson’s jacket. Guess he never did get you to sign them.  We’re dead in the air up here. Our communications, location of the cube, Banner, Thor. I got nothing for you. Lost my one good eye. Think I had that coming.  Yes, we were going to build an arsenal with the Tesseract. I never put all my chips on that number, though, because I was playing something even riskier. There was an idea, Stark knows this, called the Avengers Initiative.   The idea was to bring together a group of remarkable people, see if they could become something more. See if they could work together when we needed them to, to fight the battles that we never could. Phil Coulson died still believing in that idea, in heroes.  Well, it’s an old fashioned notion.",The Avengers
3880,SECURITY GUARD,You fell out of the sky.,The Avengers
3881,BRUCE BANNER,Did I hurt anyone?,The Avengers
3882,SECURITY GUARD,There’s nobody around here to get hurt. You did scare the hell out of some pigeons though.,The Avengers
3883,BRUCE BANNER,Lucky.,The Avengers
3884,SECURITY GUARD,Or just good aim. You were awake when you fell.,The Avengers
3885,BRUCE BANNER,You saw?,The Avengers
3886,SECURITY GUARD,"The whole thing, right through the ceiling. Big and green and buck ass nude. Here- didn’t think those would fit you until you shrunk down to a regular size fella. ",The Avengers
3887,BRUCE BANNER,Thank you.,The Avengers
3888,SECURITY GUARD,Are you an alien?,The Avengers
3889,BRUCE BANNER,What?,The Avengers
3890,SECURITY GUARD,"From outer space, an alien? ",The Avengers
3891,BRUCE BANNER,No.,The Avengers
3892,SECURITY GUARD,"Well then, son, you’ve got a condition. So, which one is it? ",The Avengers
3893,BRUCE BANNER,Sorry?,The Avengers
3894,SECURITY GUARD,"Are you a big guy that gets all little, or a little guy that, ah- sometimes blows up large? ",The Avengers
3895,BRUCE BANNER,You know- I’m not even sure.,The Avengers
3896,SECURITY GUARD,You got somewhere to go?,The Avengers
3897,BRUCE BANNER,Stark Tower. I- no. Yes.,The Avengers
3898,SECURITY GUARD,"I’d expect some confusion of the mind, since your body’s kind of all over the place, but it has to be one or the other.",The Avengers
3899,BRUCE BANNER,"I know where I could do the most good, but it’s where I can do the most harm. ",The Avengers
3900,SECURITY GUARD,"Well, that’s no different than anybody else. Me? I’m here is Jersey where I can’t do much of either. And since I’m not likely to move on from this placement, you may as well- pilfer my ride.",The Avengers
3901,BRUCE BANNER,I don’t know which way to go.,The Avengers
3902,SECURITY GUARD,"Your mind’s already made up, son. The rest of you will follow.",The Avengers
3903,NATASHA ROMANOFF,"Clint, you’re gonna be alright. ",The Avengers
3904,CLINT BARTON,You know that? Is that what you know? I gotta go in though. I have to flush him out.,The Avengers
3905,NATASHA ROMANOFF,"You gotta level out, it’s gonna take time. ",The Avengers
3906,CLINT BARTON,You don’t understand. Have you ever had someone take your brain and play? Pull you out and stuff something else in? You know what it’s like to be unmade?,The Avengers
3907,NATASHA ROMANOFF,You know that I do.,The Avengers
3908,CLINT BARTON,Why am I back? How did you get him out?,The Avengers
3909,NATASHA ROMANOFF,Cognitive recalibration. I hit you really hard in the head.,The Avengers
3910,CLINT BARTON,"Thanks.  Natasha, how many agents? ",The Avengers
3911,NATASHA ROMANOFF,"Don’t. Don’t do that to yourself, Clint. This is Loki. This is monsters and magic and nothing we were ever trained for. ",The Avengers
3912,CLINT BARTON,Loki. He get away?,The Avengers
3913,NATASHA ROMANOFF,Yeah. I don’t suppose you know where?,The Avengers
3914,CLINT BARTON,Didn’t need to know. Didn’t ask. He’s gonna make his play soon though. Today.,The Avengers
3915,NATASHA ROMANOFF,We gotta stop him.,The Avengers
3916,CLINT BARTON,Yeah? Who’s we?,The Avengers
3917,NATASHA ROMANOFF,I don’t know. Whoever is left.,The Avengers
3918,CLINT BARTON,"Well, if I put an arrow through Loki’s eye socket I’d sleep better I suppose. ",The Avengers
3919,NATASHA ROMANOFF,Now you sound like you.,The Avengers
3920,CLINT BARTON,"But you don’t. You’re a spy, not a soldier. Now you want to wade into a war. Why? What did Loki do to you? ",The Avengers
3921,NATASHA ROMANOFF,"He didn’t, I just- ",The Avengers
3922,CLINT BARTON,Natasha.,The Avengers
3923,NATASHA ROMANOFF,I’ve been compromised. I got red in my ledger. I’d like to wipe it out.,The Avengers
3924,STEVE ROGERS,Was he married?,The Avengers
3925,TONY STARK,"No. There was a uh- cellist, I think. ",The Avengers
3926,STEVE ROGERS,I’m sorry. He seemed like a good man.,The Avengers
3927,TONY STARK,He was an idiot.,The Avengers
3928,STEVE ROGERS,Why? For believing?,The Avengers
3929,TONY STARK,For taking on Loki alone.,The Avengers
3930,STEVE ROGERS,He was doing his job.,The Avengers
3931,TONY STARK,He was out of his league. He should have waited. He should have-,The Avengers
3932,STEVE ROGERS,"Sometimes there isn’t a way out, Tony. ",The Avengers
3933,TONY STARK,Right. How did that work for him?,The Avengers
3934,STEVE ROGERS,Is this the first time you’ve lost a soldier?,The Avengers
3935,TONY STARK,We are not soldiers! I’m not marching to Fury’s fife.,The Avengers
3936,STEVE ROGERS,"Neither am I. He’s got the same blood on his hands that Loki does, but right now we gotta put that behind us and get this done. Now Loki needs a power source, if we can put together a list-",The Avengers
3937,TONY STARK,He made it personal.,The Avengers
3938,STEVE ROGERS,That’s not the point.,The Avengers
3939,TONY STARK,That is the point. That’s Loki’s point. He hit us all right where we live. Why?,The Avengers
3940,STEVE ROGERS,To tear us apart.,The Avengers
3941,TONY STARK,"Yeah, divide and conquer is great but- he knows he has to take us out to win, right? That’s what he wants. He wants to beat us, he wants to be seen doing it. He wants an audience. ",The Avengers
3942,STEVE ROGERS,Right. I caught his act in Stuttgart.,The Avengers
3943,TONY STARK,"Yeah. That’s just previews, this is- this is opening night. And Loki, he’s a full-tail diva. He wants flowers, he wants parades, he wants a monument built to the skies with his name plastered....Son of-a-bitch.",The Avengers
3944,STEVE ROGERS,Time to go.,The Avengers
3945,NATASHA ROMANOFF,Go where?,The Avengers
3946,STEVE ROGERS,I’ll tell you on the way. Can you fly one of those jets?,The Avengers
3947,CLINT BARTON,I can.,The Avengers
3948,STEVE ROGERS,Got a suit?,The Avengers
3949,CLINT BARTON,Yeah.,The Avengers
3950,STEVE ROGERS,Then suit up.,The Avengers
3951,SHIELD ENGINEER,"Hey, you guys aren’t authorized to be in here. ",The Avengers
3952,STEVE ROGERS,"Son, just don’t!",The Avengers
3953,MARIA HILL,Sir.,The Avengers
3954,NICK FURY,Agent Hill.,The Avengers
3955,MARIA HILL,"Those cards, they were in Coulson’s locker, not in his jacket. ",The Avengers
3956,NICK FURY,They needed the push.,The Avengers
3957,INTERCOM VOICE,We’ve got unauthorized departure from Bay Six.,The Avengers
3958,NICK FURY,"They found it. Get our communications back up, whatever you have to do. I want eyes on everything. ",The Avengers
3959,MARIA HILL,"Yes, sir.",The Avengers
3960,JARVIS,"Sir, I turned off the arc reactor. The device is already self-sustaining ",The Avengers
3961,TONY STARK,"Shut it down, Dr. Selvig. ",The Avengers
3962,ERIK SELVIG,It’s too late! She can’t stop now. She wants to show us something! A new universe.,The Avengers
3963,TONY STARK,Okay.,The Avengers
3964,JARVIS,The barrier is pure energy. It’s unbreachable.,The Avengers
3965,TONY STARK,"Yeah, I got that.  I’m beat. ",The Avengers
3966,JARVIS,"Sir, the Mark Seven is not ready for deployment. ",The Avengers
3967,TONY STARK,"Then skip the spinning rims, we’re on the clock.",The Avengers
3968,LOKI,Please tell me you’re going to appeal to my humanity.,The Avengers
3969,TONY STARK,"Uh- actually, I’m planning to threaten you. ",The Avengers
3970,LOKI,You should have left your armor on for that.,The Avengers
3971,TONY STARK,"Yeah, it’s seen a bit of mileage. You’ve got the uh- blue stick of destiny. Would you like a drink? ",The Avengers
3972,LOKI,Stalling me won’t change anything.,The Avengers
3973,TONY STARK,"No, no, no- threatening. No drink? You sure? I’m having one. ",The Avengers
3974,LOKI,"The Chitauri are coming, nothing will change that. What have I to fear? ",The Avengers
3975,TONY STARK,"The Avengers. It’s what we call ourselves, sort of like a team. ’Earth’s Mightiest Heroes’ type of thing. ",The Avengers
3976,LOKI,"Yes, I’m met them. ",The Avengers
3977,TONY STARK,"Yeah, takes us a while to get any traction, I’ll give you that one. But, let’s do a head count here. Your brother, the Demi-God; A super soldier, a living legend who kind of lives up to the legend; a man with breath-taking anger management issues; a couple of master assassins, and you, big fella, you’ve managed to piss off every single one of them. ",The Avengers
3978,LOKI,That was the plan.,The Avengers
3979,TONY STARK,"Not a great plan. When they come, and they will, they’ll come for you. ",The Avengers
3980,LOKI,I have an army.,The Avengers
3981,TONY STARK,We have a Hulk.,The Avengers
3982,LOKI,"Oh, I thought the beast had wandered off. ",The Avengers
3983,TONY STARK,"Yeah- you’re missing the point. There’s no throne, there is no version of this, where you come out on top. Maybe your army comes and maybe it’s too much for us, but it’s all on you. ’Cause if we can’t protect the earth, you can be damned well sure we’ll avenge it.",The Avengers
3984,LOKI,"How will your friends have time for me, when they’re so busy fighting you? This usually works. ",The Avengers
3985,TONY STARK,"Well, performance issues. You know? JARVIS, anytime now.",The Avengers
3986,LOKI,You will all fall before me.,The Avengers
3987,TONY STARK,JARVIS. Deploy. Deploy! And there’s one other person you pissed off! His name is Phil. Right! Army.,The Avengers
3988,THOR,"Loki, turn off the Tesseract or I’ll destroy it! ",The Avengers
3989,LOKI,You can’t. There is no stopping it. There is only the war!,The Avengers
3990,THOR,So be it.,The Avengers
3991,NATASHA ROMANOFF,"Stark, we’re on a three heading north east.",The Avengers
3992,TONY STARK,"What, did you stop for drive-thru? Swing that park, I’m gonna lay ’em out for you.",The Avengers
3993,JARVIS,"Sir, we have more incoming. ",The Avengers
3994,TONY STARK,Fine. Let’s keep them occupied.,The Avengers
3995,CLINT BARTON,Nat!,The Avengers
3996,NATASHA ROMANOFF,I see ’em.,The Avengers
3997,STEVE ROGERS,"We gotta get back up there. Stark, are you seeing this? ",The Avengers
3998,TONY STARK,Seeing. still working on believing... ...Where’s Banner? Has he shown up yet?,The Avengers
3999,STEVE ROGERS,Banner?,The Avengers
4000,TONY STARK,"Just keep me posted.  JARVIS, find me a soft spot.",The Avengers
4001,THOR,Look at this! Look around you! You think this madness will end with your rule?,The Avengers
4002,LOKI,It’s too late. It’s too late to stop it.,The Avengers
4003,THOR,"No. We can, together.",The Avengers
4004,LOKI,Sentiment!,The Avengers
4005,CLINT BARTON,We’ve got civilians trapped.,The Avengers
4006,STEVE ROGERS,Loki.  They’re fish in a barrel down there.,The Avengers
4007,NATASHA ROMANOFF,We got this. It’s good. Go!,The Avengers
4008,STEVE ROGERS,You think you can hold them off?,The Avengers
4009,CLINT BARTON,"Captain, it would be my genuine pleasure.",The Avengers
4010,NATASHA ROMANOFF,Just like Budapest all over again!,The Avengers
4011,CLINT BARTON,You and I remember Budapest very differently.,The Avengers
4012,YOUNG COP,It’s gonna be an hour before they scramble the National Guard.,The Avengers
4013,POLICE SERGEANT,National Guard! Does the army know what’s happening here?,The Avengers
4014,YOUNG COP,Do we?,The Avengers
4015,STEVE ROGERS,"You need men in these buildings. There are people inside and they can be running right into the line of fire. You take them to the basement or through the subway, you keep them off the streets. I need a perimeter as far back as 39th. ",The Avengers
4016,POLICE SERGEANT,"Why the hell should I take orders from you? I need men in those buildings, lead the people down and away from the streets. We gonna set up a perimeter all the way down to 39th street.",The Avengers
4017,TONY STARK,It noticed me... ...yay!,The Avengers
4018,STEVE ROGERS,What’s the story upstairs?,The Avengers
4019,THOR,The power surrounding the cube is impenetrable.,The Avengers
4020,TONY STARK,"Thor is right, we gotta deal with these guys. ",The Avengers
4021,NATASHA ROMANOFF,How do we do this?,The Avengers
4022,STEVE ROGERS,As a team.,The Avengers
4023,THOR,I have unfinished business with Loki.,The Avengers
4024,CLINT BARTON,Oh yeah! Get in line.,The Avengers
4025,STEVE ROGERS,"Save it. Loki’s gonna keep this fight focused on us and that’s what we need. Without him these things could run wild. We got Stark up top, he’s gonna need us to-",The Avengers
4026,BRUCE BANNER,"So, this all seems horrible. ",The Avengers
4027,NATASHA ROMANOFF,I’ve seen worse.,The Avengers
4028,BRUCE BANNER,Sorry.,The Avengers
4029,NATASHA ROMANOFF,"No, we could- use a little worse. ",The Avengers
4030,STEVE ROGERS,"Stark, we got him. ",The Avengers
4031,TONY STARK,Banner?,The Avengers
4032,STEVE ROGERS,Just like you said.,The Avengers
4033,TONY STARK,Then tell him to suit up. I’m bringing the party to you.,The Avengers
4034,NATASHA ROMANOFF,I don’t see how that’s a party.,The Avengers
4035,STEVE ROGERS,"Doctor Banner, now might be a really good time for you to get angry. ",The Avengers
4036,BRUCE BANNER,"That’s my secret, Cap. I’m always angry.",The Avengers
4037,TONY STARK,Hold On!,The Avengers
4038,LOKI,Send the rest.,The Avengers
4039,NATASHA ROMANOFF,Guys?,The Avengers
4040,TONY STARK,"Call it, Captain. ",The Avengers
4041,STEVE ROGERS,"Alright, listen up. Until we can close that portal up there, we’re gonna use containment. Barton, I want you on that roof, eyes on everything. Call out patterns and strays. Stark, you got the perimeter. Anything gets more than three blocks out, you turn it back or you turn it to ash. ",The Avengers
4042,CLINT BARTON,Wanna give me a lift?,The Avengers
4043,TONY STARK,"Right. Better clench up, Legolas.",The Avengers
4044,STEVE ROGERS,"Thor! You gotta try and bottleneck that portal, slow ’em down. You got the lightning, light the bastards up. You and me, we stay here on the ground, keep the fighting here. And Hulk!  Smash!",The Avengers
4045,MARIA HILL,Sir. The council is on.,The Avengers
4046,CLINT BARTON,Stark. You gotta lot of strays on your tail.,The Avengers
4047,TONY STARK,Just tryin’ to keep them off the streets.,The Avengers
4048,CLINT BARTON,Well they can’t bank worth a damn.,The Avengers
4049,TONY STARK,I will roger that. Oh- boy. Nice call. What else you got?,The Avengers
4050,CLINT BARTON,"Well, Thor’s taking out a squadron down on 6th. ",The Avengers
4051,TONY STARK,And he didn’t invite me!,The Avengers
4052,NATASHA ROMANOFF,"Captain, none of this is gonna mean a damn thing if we don’t close that portal. ",The Avengers
4053,STEVE ROGERS,Our biggest guns couldn’t touch it.,The Avengers
4054,NATASHA ROMANOFF,"Well, maybe it’s not about guns. ",The Avengers
4055,STEVE ROGERS,"You wanna get up there, you’re gonna need a ride.",The Avengers
4056,NATASHA ROMANOFF,I got a ride. I could use a boost though.,The Avengers
4057,STEVE ROGERS,You sure about this?,The Avengers
4058,NATASHA ROMANOFF,"Yeah, it’s gonna be fun! Turn, turn, Ah!",The Avengers
4059,CLINT BARTON,"Captain, the bank on 42nd, past Madison. They cornered a lot of civilians in there. ",The Avengers
4060,STEVE ROGERS,I’m on it. Everyone clear out!,The Avengers
4061,COUNCILWOMAN,Director Fury. The council has made a decision...,The Avengers
4062,NICK FURY,"I recognize the council has made a decision, but given that it’s a stupid ass decision, I’ve elected to ignore it. ",The Avengers
4063,COUNCILMAN,"Director, you’re closer than any of our subs, you scramble that jet-",The Avengers
4064,NICK FURY,"That is the island of Manhattan, Councilman.  Until I’m certain my team can’t hold it, I will not order a nuclear strike against a civilian population. ",The Avengers
4065,COUNCILMAN,"If we don’t hold them in the air, we lose everything. ",The Avengers
4066,NICK FURY,"I’d send that bird out, we already have.",The Avengers
4067,NATASHA ROMANOFF,Oh you! Hawkeye!,The Avengers
4068,CLINT BARTON,"Nat, what are you doing? ",The Avengers
4069,NATASHA ROMANOFF,"Uh, a little help!",The Avengers
4070,CLINT BARTON,I got it.,The Avengers
4071,LOKI,"ENOUGH! You are, all of you, beneath me! I AM GOD, YOU DULL CREATURE, AND I WILL NOT BE BULLIED BY-",The Avengers
4072,HULK,Puny God.,The Avengers
4073,ERIK SELVIG,The scepter.,The Avengers
4074,NATASHA ROMANOFF,Doctor.,The Avengers
4075,ERIK SELVIG,"Loki’s scepter, the energy- the Tesseract can’t fight. You can’t protect against yourself. ",The Avengers
4076,NATASHA ROMANOFF,It’s not your fault. You didn’t know what you were doing.,The Avengers
4077,ERIK SELVIG,"Well, actually I think I did. I built in a safety to cut the power source. ",The Avengers
4078,NATASHA ROMANOFF,Loki’s scepter.,The Avengers
4079,ERIK SELVIG,It may be able to close the portal. And I’m looking right at it.,The Avengers
4080,JARVIS,"Sir, we will lose power before we penetrate that shell.",The Avengers
4081,TONY STARK,"JARVIS, you ever hear the tale of Jonah? ",The Avengers
4082,JARVIS,I wouldn’t consider him a role model.,The Avengers
4083,COUNCILWOMAN,Director Fury is no longer in command. Override seven-alpha-one-one.,The Avengers
4084,JET PILOT,Seven-alpha-one-one confirmed. We’re go for takeoff.,The Avengers
4085,MARIA HILL,"SIR, WE HAVE A BIRD IN MOTION! Anyone on the deck we have a rogue bird. We need to shut it down! Repeat, takeoff is not authorized!",The Avengers
4086,NICK FURY,"Stark, you hear me? You have a missile headed straight for the city.",The Avengers
4087,TONY STARK,How long?,The Avengers
4088,NICK FURY,Three minutes. Max. Stay load can wipe out mid-town.,The Avengers
4089,TONY STARK,"JARVIS, put everything we got into the thrusters. ",The Avengers
4090,JARVIS,I just did.,The Avengers
4091,JET PILOT,"Package is sent. Detonation in two minutes, thirty seconds. Mark.",The Avengers
4092,THOR,You ready for another bout?,The Avengers
4093,STEVE ROGERS,"What, you gettin’ sleepy?",The Avengers
4094,ERIK SELVIG,Right at the crown!,The Avengers
4095,NATASHA ROMANOFF,I can close it. Can anybody copy? I can shut the portal down!,The Avengers
4096,STEVE ROGERS,Do it!,The Avengers
4097,TONY STARK,"No, wait. ",The Avengers
4098,STEVE ROGERS,"Stark, these things are still coming! ",The Avengers
4099,TONY STARK,"I got a nuke coming in, it’s gonna blow in less than a minute. And I know just where to put it.",The Avengers
4100,STEVE ROGERS,"Stark, you know that’s a one way trip. ",The Avengers
4101,TONY STARK,Save the rest for the turn J.,The Avengers
4102,JARVIS,"Sir, shall I try Miss Potts? ",The Avengers
4103,TONY STARK,Might as well.,The Avengers
4104,REPORTER,Streets in New York City have become a battle ground. The army is here trying to contain the violence but clearly it is outmatch- ...Billionaire Tony Stark’s Iron Man-,The Avengers
4105,JARVIS,"Sorry, Miss- ",The Avengers
4106,NATASHA ROMANOFF,"Come on, Stark. ",The Avengers
4107,STEVE ROGERS,Close it. Son of a gun!,The Avengers
4108,THOR,He’s not slowing down.,The Avengers
4109,TONY STARK,What the hell? What just happened? Please tell me nobody kissed me.,The Avengers
4110,STEVE ROGERS,We won.,The Avengers
4111,TONY STARK,"Alright, Hey. Alright. Good job, guys. Let’s just not come in tomorrow. Let’s just take a day. You ever tried shawarma? There’s a shawarma joint about two blocks from here. I don’t know what it is, but I wanna try it. ",The Avengers
4112,THOR,We’re not finished yet.,The Avengers
4113,TONY STARK,And then shawarma after?,The Avengers
4114,LOKI,"If it’s all the same to you, I’ll have that drink now.",The Avengers
4115,MALE REPORTER,"Despite the dev... ...devastation of what has been confirmed as an extraterrestrial attack, the extraordinary heroics of the group known as the Avengers- ",The Avengers
4116,MALE CITIZEN,"It’s really great knowing they’re out there, you know. That someone’s watching over us. ",The Avengers
4117,FEMALE CITIZEN,"I love you, Thor! ",The Avengers
4118,HUSBAND,I just don’t feel safe with those thing out there.,The Avengers
4119,WIFE,It seems like there’s a lot they’re not telling us.,The Avengers
4120,STAN LEE,Superheroes? In New York? Give me a break!,The Avengers
4121,THE SENATOR,These so called heroes have to be held responsible for the destruction done to the city. This was their fight. Where are they now?,The Avengers
4122,REPORTER,"Tough questions are being asked about the Avengers themselves, their sudden appearance and equally sudden disappearance. ",The Avengers
4123,WAITRESS,"What, that this is all somehow their fault? Captain America saved my life. Wherever he is, and wherever any of them are, I would just- I would wanna say thank you.",The Avengers
4124,COUNCILMAN 2,Where are the Avengers?,The Avengers
4125,NICK FURY,I’m not currently tracking their whereabouts. I’d say they’ve earned a leave of absence.,The Avengers
4126,COUNCILWOMAN,And the Tesseract?,The Avengers
4127,NICK FURY,The Tesseract is where belongs...out of our reach.,The Avengers
4128,COUNCILMAN,That’s not your call.,The Avengers
4129,NICK FURY,I didn’t make it. I just didn’t argue with the god that did.,The Avengers
4130,COUNCILMAN,"So you let him take it... and the war criminal Loki, who should be answering for his crime. ",The Avengers
4131,NICK FURY,Oh I think he will be.,The Avengers
4132,COUNCILWOMAN,I don’t think you understand what you’ve started... ...letting The Avengers loose on this world. They’re dangerous.,The Avengers
4133,NICK FURY,"They surely are, and the whole world knows it.  Every world knows it!",The Avengers
4134,COUNCILMAN,Was that the point in all this? A statement.,The Avengers
4135,NICK FURY,A promise.,The Avengers
4136,MARIA HILL,"Sir, how does it work now...? ...They’ve gone their separate ways, some pretty extremely far. We get into a situation like this again, what happens then? ",The Avengers
4137,NICK FURY,They’ll come back!,The Avengers
4138,MARIA HILL,Really sure about that?,The Avengers
4139,NICK FURY,I am.,The Avengers
4140,MARIA HILL,Why?,The Avengers
4141,NICK FURY,Because we’ll need them to.,The Avengers
4142,THE OTHER,"The humans, they are not the cowering wretches we were promised. They stand. They are unruly and therefore cannot be ruled. To challenge them, is to court Death.",The Avengers
